step 0: train loss 4.1836, val loss 4.1761
saving checkpoint to out-shakespeare-char
iter 0: loss 4.1867, time 422.39ms, mfu -100.00%
iter 1: loss 4.1806, time 15.00ms, mfu -100.00%
iter 2: loss 4.1706, time 14.71ms, mfu -100.00%
iter 3: loss 4.1775, time 14.61ms, mfu -100.00%
iter 4: loss 4.1510, time 14.40ms, mfu -100.00%
iter 5: loss 4.1409, time 15.51ms, mfu 0.02%
iter 6: loss 4.1414, time 15.66ms, mfu 0.02%
iter 7: loss 4.1067, time 14.94ms, mfu 0.02%
iter 8: loss 4.0977, time 14.98ms, mfu 0.02%
iter 9: loss 4.0662, time 14.35ms, mfu 0.02%
iter 10: loss 4.0498, time 15.57ms, mfu 0.02%
iter 11: loss 4.0103, time 15.61ms, mfu 0.02%
iter 12: loss 3.9765, time 16.14ms, mfu 0.02%
iter 13: loss 3.9320, time 15.77ms, mfu 0.02%
iter 14: loss 3.9387, time 15.43ms, mfu 0.02%
iter 15: loss 3.8989, time 15.95ms, mfu 0.02%
iter 16: loss 3.8749, time 14.84ms, mfu 0.02%
iter 17: loss 3.8842, time 14.68ms, mfu 0.02%
iter 18: loss 3.8733, time 14.75ms, mfu 0.02%
iter 19: loss 3.8645, time 16.23ms, mfu 0.02%
iter 20: loss 3.8263, time 15.84ms, mfu 0.02%
iter 21: loss 3.8117, time 15.13ms, mfu 0.02%
iter 22: loss 3.8322, time 14.38ms, mfu 0.02%
iter 23: loss 3.7859, time 15.06ms, mfu 0.02%
iter 24: loss 3.7806, time 14.42ms, mfu 0.02%
iter 25: loss 3.7321, time 15.33ms, mfu 0.02%
iter 26: loss 3.7535, time 14.31ms, mfu 0.02%
iter 27: loss 3.7645, time 14.93ms, mfu 0.02%
iter 28: loss 3.7254, time 14.85ms, mfu 0.02%
iter 29: loss 3.7293, time 15.33ms, mfu 0.02%
iter 30: loss 3.7086, time 15.55ms, mfu 0.02%
iter 31: loss 3.6454, time 15.45ms, mfu 0.02%
iter 32: loss 3.6802, time 15.13ms, mfu 0.02%
iter 33: loss 3.6609, time 14.70ms, mfu 0.02%
iter 34: loss 3.6364, time 14.50ms, mfu 0.02%
iter 35: loss 3.6093, time 14.19ms, mfu 0.02%
iter 36: loss 3.6228, time 14.94ms, mfu 0.02%
iter 37: loss 3.6164, time 14.76ms, mfu 0.02%
iter 38: loss 3.5521, time 14.92ms, mfu 0.02%
iter 39: loss 3.5726, time 14.51ms, mfu 0.02%
iter 40: loss 3.5613, time 15.19ms, mfu 0.02%
iter 41: loss 3.5250, time 15.10ms, mfu 0.02%
iter 42: loss 3.4778, time 15.11ms, mfu 0.02%
iter 43: loss 3.4596, time 15.24ms, mfu 0.02%
iter 44: loss 3.4079, time 15.52ms, mfu 0.02%
iter 45: loss 3.4591, time 15.70ms, mfu 0.02%
iter 46: loss 3.4143, time 14.83ms, mfu 0.02%
iter 47: loss 3.3774, time 14.31ms, mfu 0.02%
iter 48: loss 3.3571, time 14.74ms, mfu 0.02%
iter 49: loss 3.4230, time 14.16ms, mfu 0.02%
iter 50: loss 3.3531, time 15.45ms, mfu 0.02%
iter 51: loss 3.3197, time 14.68ms, mfu 0.02%
iter 52: loss 3.3122, time 15.20ms, mfu 0.02%
iter 53: loss 3.3870, time 14.01ms, mfu 0.02%
iter 54: loss 3.3225, time 13.80ms, mfu 0.02%
iter 55: loss 3.2634, time 14.44ms, mfu 0.02%
iter 56: loss 3.2915, time 14.54ms, mfu 0.02%
iter 57: loss 3.2795, time 15.25ms, mfu 0.02%
iter 58: loss 3.2281, time 14.56ms, mfu 0.02%
iter 59: loss 3.1751, time 14.94ms, mfu 0.02%
iter 60: loss 3.2657, time 14.96ms, mfu 0.02%
iter 61: loss 3.1333, time 15.21ms, mfu 0.02%
iter 62: loss 3.1907, time 14.84ms, mfu 0.02%
iter 63: loss 3.1292, time 15.05ms, mfu 0.02%
iter 64: loss 3.1030, time 15.02ms, mfu 0.02%
iter 65: loss 3.1432, time 14.84ms, mfu 0.02%
iter 66: loss 3.0714, time 14.70ms, mfu 0.02%
iter 67: loss 3.1150, time 14.21ms, mfu 0.02%
iter 68: loss 3.0681, time 15.90ms, mfu 0.02%
iter 69: loss 3.0612, time 15.21ms, mfu 0.02%
iter 70: loss 3.0516, time 14.88ms, mfu 0.02%
iter 71: loss 3.0653, time 15.01ms, mfu 0.02%
iter 72: loss 3.0700, time 14.75ms, mfu 0.02%
iter 73: loss 3.0272, time 14.65ms, mfu 0.02%
iter 74: loss 3.0197, time 14.93ms, mfu 0.02%
iter 75: loss 2.9584, time 24.68ms, mfu 0.02%
iter 76: loss 3.0183, time 25.12ms, mfu 0.02%
iter 77: loss 2.9248, time 17.01ms, mfu 0.02%
iter 78: loss 3.0766, time 15.91ms, mfu 0.02%
iter 79: loss 3.0020, time 15.51ms, mfu 0.02%
iter 80: loss 3.0341, time 14.25ms, mfu 0.02%
iter 81: loss 3.0047, time 14.94ms, mfu 0.02%
iter 82: loss 2.9438, time 14.88ms, mfu 0.02%
iter 83: loss 2.9071, time 14.97ms, mfu 0.02%
iter 84: loss 2.8999, time 15.30ms, mfu 0.02%
iter 85: loss 2.9250, time 15.36ms, mfu 0.02%
iter 86: loss 2.8839, time 14.63ms, mfu 0.02%
iter 87: loss 2.9792, time 15.63ms, mfu 0.02%
