step 0: train loss 4.2893, val loss 4.2816
saving checkpoint to out-shakespeare-char
iter 0: loss 4.2699, time 828.39ms, mfu -100.00%
iter 1: loss 4.2860, time 46.27ms, mfu -100.00%
iter 2: loss 4.2208, time 45.84ms, mfu -100.00%
iter 3: loss 4.0920, time 45.28ms, mfu -100.00%
iter 4: loss 3.9301, time 43.99ms, mfu -100.00%
iter 5: loss 3.8255, time 45.11ms, mfu 0.11%
iter 6: loss 3.7171, time 47.27ms, mfu 0.11%
iter 7: loss 3.5878, time 44.77ms, mfu 0.11%
iter 8: loss 3.5333, time 47.09ms, mfu 0.11%
iter 9: loss 3.4546, time 44.11ms, mfu 0.11%
iter 10: loss 3.3764, time 45.27ms, mfu 0.11%
iter 11: loss 3.3990, time 44.59ms, mfu 0.11%
iter 12: loss 3.3519, time 44.62ms, mfu 0.11%
iter 13: loss 3.3246, time 44.62ms, mfu 0.11%
iter 14: loss 3.4504, time 45.00ms, mfu 0.11%
iter 15: loss 3.2949, time 46.06ms, mfu 0.11%
iter 16: loss 3.2614, time 45.24ms, mfu 0.11%
iter 17: loss 3.1901, time 44.85ms, mfu 0.11%
iter 18: loss 3.1597, time 44.14ms, mfu 0.11%
iter 19: loss 3.0958, time 44.35ms, mfu 0.11%
iter 20: loss 3.0965, time 45.47ms, mfu 0.11%
iter 21: loss 2.9928, time 44.96ms, mfu 0.11%
iter 22: loss 2.9797, time 44.13ms, mfu 0.11%
iter 23: loss 2.9938, time 45.59ms, mfu 0.11%
iter 24: loss 3.0098, time 45.54ms, mfu 0.11%
iter 25: loss 2.8965, time 44.78ms, mfu 0.11%
iter 26: loss 2.9050, time 45.58ms, mfu 0.11%
iter 27: loss 2.8209, time 44.87ms, mfu 0.11%
iter 28: loss 2.8676, time 45.72ms, mfu 0.11%
iter 29: loss 2.8507, time 44.42ms, mfu 0.11%
iter 30: loss 2.8001, time 45.39ms, mfu 0.11%
iter 31: loss 2.8052, time 44.89ms, mfu 0.11%
iter 32: loss 2.8148, time 44.66ms, mfu 0.11%
iter 33: loss 2.8548, time 45.84ms, mfu 0.11%
iter 34: loss 2.7292, time 43.18ms, mfu 0.11%
iter 35: loss 2.7669, time 44.64ms, mfu 0.11%
iter 36: loss 2.6754, time 45.11ms, mfu 0.11%
iter 37: loss 2.8818, time 45.42ms, mfu 0.11%
iter 38: loss 2.6863, time 44.79ms, mfu 0.11%
iter 39: loss 2.6894, time 45.47ms, mfu 0.11%
iter 40: loss 2.7738, time 46.21ms, mfu 0.11%
iter 41: loss 2.6786, time 44.94ms, mfu 0.11%
iter 42: loss 2.6830, time 44.78ms, mfu 0.11%
iter 43: loss 2.7203, time 46.32ms, mfu 0.11%
iter 44: loss 2.7019, time 45.98ms, mfu 0.11%
iter 45: loss 2.5788, time 46.39ms, mfu 0.11%
iter 46: loss 2.6564, time 45.72ms, mfu 0.11%
iter 47: loss 2.6816, time 45.47ms, mfu 0.11%
iter 48: loss 2.6089, time 47.51ms, mfu 0.11%
iter 49: loss 2.6020, time 47.41ms, mfu 0.11%
iter 50: loss 2.6568, time 49.95ms, mfu 0.11%
iter 51: loss 2.6955, time 47.66ms, mfu 0.11%
iter 52: loss 2.6749, time 49.26ms, mfu 0.10%
iter 53: loss 2.6141, time 48.69ms, mfu 0.10%
iter 54: loss 2.6803, time 46.76ms, mfu 0.10%
iter 55: loss 2.6451, time 47.96ms, mfu 0.10%
iter 56: loss 2.7377, time 49.42ms, mfu 0.10%
iter 57: loss 2.6287, time 46.86ms, mfu 0.10%
iter 58: loss 2.6447, time 48.16ms, mfu 0.10%
iter 59: loss 2.6349, time 47.92ms, mfu 0.10%
iter 60: loss 2.5833, time 46.87ms, mfu 0.10%
iter 61: loss 2.5720, time 49.17ms, mfu 0.10%
iter 62: loss 2.5950, time 47.34ms, mfu 0.10%
iter 63: loss 2.6557, time 47.45ms, mfu 0.10%
iter 64: loss 2.5881, time 47.31ms, mfu 0.10%
iter 65: loss 2.6525, time 47.60ms, mfu 0.10%
iter 66: loss 2.6121, time 46.99ms, mfu 0.10%
iter 67: loss 2.5917, time 46.58ms, mfu 0.10%
iter 68: loss 2.6016, time 44.28ms, mfu 0.10%
iter 69: loss 2.6083, time 44.64ms, mfu 0.10%
iter 70: loss 2.5975, time 45.77ms, mfu 0.10%
iter 71: loss 2.5374, time 45.58ms, mfu 0.10%
iter 72: loss 2.4228, time 44.75ms, mfu 0.11%
iter 73: loss 2.6760, time 44.79ms, mfu 0.11%
iter 74: loss 2.4936, time 46.07ms, mfu 0.11%
iter 75: loss 2.6209, time 45.31ms, mfu 0.11%
iter 76: loss 2.6329, time 44.71ms, mfu 0.11%
iter 77: loss 2.5727, time 45.94ms, mfu 0.11%
iter 78: loss 2.5103, time 45.30ms, mfu 0.11%
iter 79: loss 2.5983, time 45.85ms, mfu 0.11%
iter 80: loss 2.6640, time 44.49ms, mfu 0.11%
iter 81: loss 2.6146, time 44.69ms, mfu 0.11%
iter 82: loss 2.6416, time 45.64ms, mfu 0.11%
iter 83: loss 2.5779, time 44.09ms, mfu 0.11%
iter 84: loss 2.5611, time 46.30ms, mfu 0.11%
iter 85: loss 2.5746, time 45.61ms, mfu 0.11%
iter 86: loss 2.5901, time 46.46ms, mfu 0.11%
iter 87: loss 2.5373, time 44.63ms, mfu 0.11%
iter 88: loss 2.5828, time 46.82ms, mfu 0.11%
iter 89: loss 2.5456, time 44.47ms, mfu 0.11%
iter 90: loss 2.5431, time 45.70ms, mfu 0.11%
iter 91: loss 2.4779, time 45.77ms, mfu 0.11%
iter 92: loss 2.4843, time 44.96ms, mfu 0.11%
iter 93: loss 2.5557, time 45.12ms, mfu 0.11%
iter 94: loss 2.5952, time 45.56ms, mfu 0.11%
iter 95: loss 2.5833, time 46.18ms, mfu 0.11%
iter 96: loss 2.5445, time 61.87ms, mfu 0.10%
iter 97: loss 2.5878, time 44.70ms, mfu 0.10%
