step 0: train loss 4.1807, val loss 4.1797
saving checkpoint to out-shakespeare-char
iter 0: loss 4.1794, time 382.61ms, mfu -100.00%
iter 1: loss 4.1803, time 12.51ms, mfu -100.00%
iter 2: loss 4.1746, time 12.07ms, mfu -100.00%
iter 3: loss 4.1786, time 12.33ms, mfu -100.00%
iter 4: loss 4.1797, time 12.69ms, mfu -100.00%
iter 5: loss 4.1823, time 12.44ms, mfu 0.01%
iter 6: loss 4.1639, time 12.67ms, mfu 0.01%
iter 7: loss 4.1729, time 12.68ms, mfu 0.01%
iter 8: loss 4.1704, time 12.73ms, mfu 0.01%
iter 9: loss 4.1598, time 11.76ms, mfu 0.01%
iter 10: loss 4.1595, time 11.72ms, mfu 0.01%
iter 11: loss 4.1576, time 12.66ms, mfu 0.01%
iter 12: loss 4.1441, time 11.79ms, mfu 0.01%
iter 13: loss 4.1380, time 12.04ms, mfu 0.01%
iter 14: loss 4.1369, time 11.79ms, mfu 0.01%
iter 15: loss 4.1182, time 11.75ms, mfu 0.01%
iter 16: loss 4.1074, time 11.98ms, mfu 0.01%
iter 17: loss 4.0940, time 12.54ms, mfu 0.01%
iter 18: loss 4.0846, time 12.61ms, mfu 0.01%
iter 19: loss 4.0668, time 12.41ms, mfu 0.01%
iter 20: loss 4.0591, time 12.04ms, mfu 0.01%
iter 21: loss 4.0494, time 12.49ms, mfu 0.01%
iter 22: loss 4.0469, time 12.46ms, mfu 0.01%
iter 23: loss 4.0413, time 12.92ms, mfu 0.01%
iter 24: loss 4.0255, time 12.66ms, mfu 0.01%
iter 25: loss 4.0102, time 11.83ms, mfu 0.01%
iter 26: loss 4.0027, time 12.26ms, mfu 0.01%
iter 27: loss 3.9897, time 11.71ms, mfu 0.01%
iter 28: loss 3.9962, time 12.19ms, mfu 0.01%
iter 29: loss 3.9769, time 12.31ms, mfu 0.01%
iter 30: loss 3.9731, time 12.01ms, mfu 0.01%
iter 31: loss 3.9603, time 12.44ms, mfu 0.01%
iter 32: loss 3.9513, time 12.25ms, mfu 0.01%
iter 33: loss 3.9225, time 12.14ms, mfu 0.01%
iter 34: loss 3.9165, time 12.54ms, mfu 0.01%
iter 35: loss 3.9032, time 12.49ms, mfu 0.01%
iter 36: loss 3.9037, time 11.33ms, mfu 0.01%
iter 37: loss 3.8895, time 11.98ms, mfu 0.01%
iter 38: loss 3.8939, time 11.40ms, mfu 0.01%
iter 39: loss 3.8660, time 11.96ms, mfu 0.01%
iter 40: loss 3.8879, time 11.91ms, mfu 0.01%
iter 41: loss 3.8617, time 11.46ms, mfu 0.01%
iter 42: loss 3.8818, time 11.92ms, mfu 0.01%
iter 43: loss 3.8507, time 11.49ms, mfu 0.01%
iter 44: loss 3.8231, time 11.49ms, mfu 0.01%
iter 45: loss 3.8207, time 11.53ms, mfu 0.01%
iter 46: loss 3.7959, time 11.37ms, mfu 0.01%
iter 47: loss 3.7910, time 11.56ms, mfu 0.01%
iter 48: loss 3.7748, time 11.09ms, mfu 0.01%
iter 49: loss 3.7759, time 11.55ms, mfu 0.01%
iter 50: loss 3.7466, time 11.81ms, mfu 0.01%
iter 51: loss 3.6994, time 11.29ms, mfu 0.01%
iter 52: loss 3.6917, time 11.50ms, mfu 0.01%
iter 53: loss 3.6820, time 11.59ms, mfu 0.01%
iter 54: loss 3.6580, time 11.40ms, mfu 0.01%
iter 55: loss 3.6877, time 11.75ms, mfu 0.01%
iter 56: loss 3.6147, time 11.40ms, mfu 0.01%
iter 57: loss 3.6632, time 11.43ms, mfu 0.01%
iter 58: loss 3.6489, time 11.13ms, mfu 0.01%
iter 59: loss 3.6927, time 11.44ms, mfu 0.01%
iter 60: loss 3.6482, time 11.43ms, mfu 0.01%
iter 61: loss 3.6648, time 11.81ms, mfu 0.01%
iter 62: loss 3.5958, time 11.59ms, mfu 0.01%
iter 63: loss 3.6122, time 11.36ms, mfu 0.01%
iter 64: loss 3.5827, time 11.29ms, mfu 0.01%
iter 65: loss 3.5851, time 11.25ms, mfu 0.01%
iter 66: loss 3.5273, time 11.94ms, mfu 0.01%
iter 67: loss 3.5283, time 10.93ms, mfu 0.01%
iter 68: loss 3.4907, time 11.23ms, mfu 0.01%
