step 0: train loss 4.2741, val loss 4.2773
saving checkpoint to out-shakespeare-char
iter 0: loss 4.2752, time 1513.74ms, mfu -100.00%
iter 1: loss 4.2832, time 98.23ms, mfu -100.00%
iter 2: loss 4.0779, time 96.45ms, mfu -100.00%
iter 3: loss 3.7350, time 98.25ms, mfu -100.00%
iter 4: loss 3.6248, time 93.53ms, mfu -100.00%
iter 5: loss 3.4161, time 95.18ms, mfu 0.20%
iter 6: loss 3.4703, time 92.34ms, mfu 0.20%
iter 7: loss 3.3566, time 95.94ms, mfu 0.20%
iter 8: loss 3.2453, time 95.15ms, mfu 0.20%
iter 9: loss 3.2495, time 98.49ms, mfu 0.20%
iter 10: loss 3.1814, time 97.31ms, mfu 0.20%
iter 11: loss 3.1964, time 98.00ms, mfu 0.20%
iter 12: loss 3.1151, time 97.78ms, mfu 0.20%
iter 13: loss 3.0169, time 101.00ms, mfu 0.20%
iter 14: loss 2.9994, time 97.89ms, mfu 0.20%
iter 15: loss 2.9878, time 101.14ms, mfu 0.20%
iter 16: loss 3.0458, time 103.83ms, mfu 0.19%
iter 17: loss 2.9586, time 105.31ms, mfu 0.19%
iter 18: loss 2.9090, time 103.89ms, mfu 0.19%
iter 19: loss 2.8351, time 103.57ms, mfu 0.19%
iter 20: loss 2.8728, time 102.90ms, mfu 0.19%
iter 21: loss 2.8248, time 103.54ms, mfu 0.19%
iter 22: loss 2.6892, time 102.69ms, mfu 0.19%
iter 23: loss 2.6584, time 104.05ms, mfu 0.19%
iter 24: loss 2.8246, time 102.08ms, mfu 0.19%
iter 25: loss 2.6595, time 99.83ms, mfu 0.19%
iter 26: loss 2.7339, time 99.27ms, mfu 0.19%
iter 27: loss 2.6133, time 98.79ms, mfu 0.19%
iter 28: loss 2.6834, time 101.00ms, mfu 0.19%
iter 29: loss 2.5868, time 98.28ms, mfu 0.19%
iter 30: loss 2.7291, time 99.57ms, mfu 0.19%
iter 31: loss 2.6463, time 96.92ms, mfu 0.19%
iter 32: loss 2.6678, time 94.03ms, mfu 0.19%
iter 33: loss 2.7954, time 98.17ms, mfu 0.19%
iter 34: loss 2.6857, time 96.49ms, mfu 0.19%
iter 35: loss 2.6038, time 97.79ms, mfu 0.19%
iter 36: loss 2.6701, time 97.88ms, mfu 0.19%
iter 37: loss 2.6588, time 96.38ms, mfu 0.19%
iter 38: loss 2.6436, time 96.98ms, mfu 0.19%
iter 39: loss 2.6120, time 96.81ms, mfu 0.19%
iter 40: loss 2.6978, time 98.22ms, mfu 0.19%
iter 41: loss 2.6397, time 103.82ms, mfu 0.19%
iter 42: loss 2.6513, time 101.72ms, mfu 0.19%
iter 43: loss 2.6350, time 103.53ms, mfu 0.19%
iter 44: loss 2.6206, time 106.44ms, mfu 0.19%
iter 45: loss 2.5106, time 109.26ms, mfu 0.19%
iter 46: loss 2.5791, time 104.01ms, mfu 0.19%
iter 47: loss 2.5847, time 105.17ms, mfu 0.19%
iter 48: loss 2.6064, time 104.50ms, mfu 0.19%
iter 49: loss 2.7453, time 105.82ms, mfu 0.19%
iter 50: loss 2.6492, time 103.61ms, mfu 0.19%
iter 51: loss 2.6323, time 104.90ms, mfu 0.19%
iter 52: loss 2.6269, time 106.84ms, mfu 0.18%
iter 53: loss 2.6284, time 103.02ms, mfu 0.18%
iter 54: loss 2.5755, time 106.24ms, mfu 0.18%
iter 55: loss 2.6324, time 101.87ms, mfu 0.18%
iter 56: loss 2.5985, time 98.41ms, mfu 0.19%
iter 57: loss 2.6120, time 99.83ms, mfu 0.19%
iter 58: loss 2.6247, time 102.20ms, mfu 0.19%
iter 59: loss 2.5485, time 102.23ms, mfu 0.19%
iter 60: loss 2.7453, time 103.78ms, mfu 0.19%
iter 61: loss 2.6315, time 99.70ms, mfu 0.19%
iter 62: loss 2.5683, time 98.00ms, mfu 0.19%
iter 63: loss 2.5403, time 101.59ms, mfu 0.19%
iter 64: loss 2.5214, time 100.15ms, mfu 0.19%
iter 65: loss 2.5681, time 96.90ms, mfu 0.19%
iter 66: loss 2.5460, time 98.47ms, mfu 0.19%
iter 67: loss 2.6213, time 98.09ms, mfu 0.19%
iter 68: loss 2.6425, time 99.56ms, mfu 0.19%
iter 69: loss 2.6520, time 99.99ms, mfu 0.19%
iter 70: loss 2.5344, time 96.55ms, mfu 0.19%
iter 71: loss 2.6065, time 101.12ms, mfu 0.19%
iter 72: loss 2.5844, time 101.58ms, mfu 0.19%
iter 73: loss 2.5097, time 97.67ms, mfu 0.19%
iter 74: loss 2.5528, time 101.42ms, mfu 0.19%
iter 75: loss 2.5878, time 106.68ms, mfu 0.19%
iter 76: loss 2.6476, time 101.54ms, mfu 0.19%
iter 77: loss 2.5355, time 112.56ms, mfu 0.19%
iter 78: loss 2.5053, time 107.89ms, mfu 0.19%
iter 79: loss 2.6074, time 103.73ms, mfu 0.19%
iter 80: loss 2.5670, time 105.64ms, mfu 0.18%
iter 81: loss 2.5637, time 109.10ms, mfu 0.18%
iter 82: loss 2.5456, time 103.94ms, mfu 0.18%
iter 83: loss 2.5147, time 108.97ms, mfu 0.18%
iter 84: loss 2.5254, time 98.58ms, mfu 0.18%
iter 85: loss 2.5158, time 94.75ms, mfu 0.19%
iter 86: loss 2.5548, time 98.59ms, mfu 0.19%
iter 87: loss 2.5106, time 98.78ms, mfu 0.19%
iter 88: loss 2.5697, time 97.57ms, mfu 0.19%
iter 89: loss 2.5194, time 103.64ms, mfu 0.19%
iter 90: loss 2.5138, time 98.79ms, mfu 0.19%
iter 91: loss 2.5257, time 99.80ms, mfu 0.19%
iter 92: loss 2.5463, time 98.13ms, mfu 0.19%
iter 93: loss 2.5450, time 103.02ms, mfu 0.19%
iter 94: loss 2.4380, time 105.72ms, mfu 0.19%
iter 95: loss 2.5676, time 97.88ms, mfu 0.19%
iter 96: loss 2.5211, time 100.25ms, mfu 0.19%
iter 97: loss 2.4458, time 99.84ms, mfu 0.19%
iter 98: loss 2.4548, time 99.72ms, mfu 0.19%
iter 99: loss 2.5937, time 98.20ms, mfu 0.19%
iter 100: loss 2.5546, time 102.25ms, mfu 0.19%
iter 101: loss 2.5394, time 97.80ms, mfu 0.19%
iter 102: loss 2.5248, time 98.57ms, mfu 0.19%
iter 103: loss 2.4679, time 97.40ms, mfu 0.19%
iter 104: loss 2.4648, time 105.28ms, mfu 0.19%
iter 105: loss 2.4810, time 103.95ms, mfu 0.19%
iter 106: loss 2.4044, time 105.88ms, mfu 0.19%
iter 107: loss 2.4747, time 105.28ms, mfu 0.19%
iter 108: loss 2.5005, time 112.07ms, mfu 0.19%
iter 109: loss 2.5889, time 106.77ms, mfu 0.18%
iter 110: loss 2.4784, time 106.67ms, mfu 0.18%
iter 111: loss 2.4908, time 107.48ms, mfu 0.18%
iter 112: loss 2.4151, time 103.57ms, mfu 0.18%
iter 113: loss 2.3495, time 105.45ms, mfu 0.18%
iter 114: loss 2.4731, time 98.34ms, mfu 0.18%
iter 115: loss 2.4405, time 99.61ms, mfu 0.18%
iter 116: loss 2.3828, time 101.08ms, mfu 0.19%
iter 117: loss 2.4639, time 99.86ms, mfu 0.19%
iter 118: loss 2.4576, time 100.63ms, mfu 0.19%
iter 119: loss 2.3863, time 100.84ms, mfu 0.19%
iter 120: loss 2.4992, time 98.82ms, mfu 0.19%
iter 121: loss 2.3681, time 103.29ms, mfu 0.19%
iter 122: loss 2.4444, time 100.42ms, mfu 0.19%
iter 123: loss 2.4430, time 98.59ms, mfu 0.19%
iter 124: loss 2.4582, time 100.08ms, mfu 0.19%
iter 125: loss 2.3990, time 96.36ms, mfu 0.19%
iter 126: loss 2.4226, time 99.60ms, mfu 0.19%
iter 127: loss 2.3968, time 100.90ms, mfu 0.19%
iter 128: loss 2.3211, time 97.68ms, mfu 0.19%
iter 129: loss 2.3689, time 96.16ms, mfu 0.19%
iter 130: loss 2.3586, time 99.56ms, mfu 0.19%
iter 131: loss 2.4060, time 99.70ms, mfu 0.19%
iter 132: loss 2.3379, time 97.35ms, mfu 0.19%
iter 133: loss 2.4167, time 101.30ms, mfu 0.19%
iter 134: loss 2.3639, time 104.41ms, mfu 0.19%
iter 135: loss 2.4512, time 112.78ms, mfu 0.19%
