step 0: train loss 4.3219, val loss 4.3089
saving checkpoint to out-shakespeare-char
iter 0: loss 4.3400, time 1578.98ms, mfu -100.00%
iter 1: loss 4.3313, time 101.27ms, mfu -100.00%
iter 2: loss 4.1347, time 97.84ms, mfu -100.00%
iter 3: loss 3.8459, time 99.28ms, mfu -100.00%
iter 4: loss 3.6420, time 97.92ms, mfu -100.00%
iter 5: loss 3.5133, time 102.25ms, mfu 0.16%
iter 6: loss 3.4651, time 99.33ms, mfu 0.16%
iter 7: loss 3.3352, time 100.19ms, mfu 0.16%
iter 8: loss 3.3470, time 95.78ms, mfu 0.16%
iter 9: loss 3.2033, time 94.12ms, mfu 0.16%
iter 10: loss 3.2474, time 93.21ms, mfu 0.16%
iter 11: loss 3.1953, time 94.06ms, mfu 0.16%
iter 12: loss 3.1279, time 92.82ms, mfu 0.16%
iter 13: loss 3.0602, time 95.41ms, mfu 0.16%
iter 14: loss 3.0367, time 93.00ms, mfu 0.17%
iter 15: loss 3.0909, time 96.33ms, mfu 0.17%
iter 16: loss 3.0141, time 98.85ms, mfu 0.17%
iter 17: loss 2.9334, time 99.38ms, mfu 0.17%
iter 18: loss 2.8825, time 99.17ms, mfu 0.17%
iter 19: loss 2.8113, time 98.70ms, mfu 0.16%
iter 20: loss 2.8169, time 98.27ms, mfu 0.16%
iter 21: loss 2.8760, time 98.85ms, mfu 0.16%
iter 22: loss 2.8215, time 99.40ms, mfu 0.16%
iter 23: loss 2.8790, time 99.37ms, mfu 0.16%
iter 24: loss 2.7588, time 100.52ms, mfu 0.16%
iter 25: loss 2.8968, time 95.85ms, mfu 0.16%
iter 26: loss 2.7745, time 94.28ms, mfu 0.17%
iter 27: loss 2.7574, time 93.74ms, mfu 0.17%
iter 28: loss 2.7226, time 94.80ms, mfu 0.17%
iter 29: loss 2.6646, time 93.38ms, mfu 0.17%
iter 30: loss 2.7209, time 94.83ms, mfu 0.17%
iter 31: loss 2.7032, time 94.95ms, mfu 0.17%
iter 32: loss 2.7112, time 93.13ms, mfu 0.17%
iter 33: loss 2.6543, time 97.22ms, mfu 0.17%
iter 34: loss 2.7770, time 95.02ms, mfu 0.17%
iter 35: loss 2.6869, time 96.24ms, mfu 0.17%
iter 36: loss 2.6560, time 96.54ms, mfu 0.17%
iter 37: loss 2.7131, time 96.78ms, mfu 0.17%
